"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"/Users/joshuakim/Documents/yeayea/web/app/components/logging/loggingEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 215, 0, 0, 12, 27, 254
"/Users/joshuakim/Documents/yeayea/web/app/components/shop/shopBasicsEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 958, 0, 0, 12, 109, 1079
"/Users/joshuakim/Documents/yeayea/web/app/components/styles/styleBasicsEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 4, 27, 217
"/Users/joshuakim/Documents/yeayea/web/app/components/xp/xpBasicsEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1063, 0, 0, 18, 95, 1176
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/achievements/achievementPageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/achievements/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/levels/levelsPageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/levels/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/logging/loggingPageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/logging/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/shop/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/shop/shopPageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/styles/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/styles/stylePageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/xp/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
